date,variant,equity,cash_free,cash_pending,n_tickers,max_concentration,cost_total_cum,ret_cash,regime_defensive_used,ml_cash_signal_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum,rebalance_cadence,is_rebalance_day,equity_base100
2023-01-10,C4_TRIGGER,764775.4076751991,764775.4076751991,0.0,0,0.0,5834.097088550006,0.00017182539682539683,1,1,151,80,134,0,315,10,0,764.7323156161444
2023-01-11,C4_TRIGGER,764906.8155131052,764906.8155131052,0.0,0,0.0,5834.097088550006,0.00017182539682539683,1,1,151,80,134,0,315,10,0,764.8637160497404
2023-01-12,C4_TRIGGER,765038.2459302153,765038.2459302153,0.0,0,0.0,5834.097088550006,0.00017182539682539683,1,1,151,80,134,0,315,10,0,764.9951390612682
2023-01-13,C4_TRIGGER,765169.6989304089,765169.6989304089,0.0,0,0.0,5834.097088550006,0.00017182539682539683,1,1,151,80,134,0,315,10,0,765.126584654607
2023-01-17,C4_TRIGGER,765301.1745175665,765301.1745175665,0.0,0,0.0,5834.097088550006,0.00017182539682539683,1,1,151,80,134,0,315,10,0,765.2580528336368
2023-01-18,C4_TRIGGER,765432.672695569,765432.672695569,0.0,0,0.0,5834.097088550006,0.00017182539682539683,1,1,151,80,134,0,315,10,0,765.389543602239
2023-01-19,C4_TRIGGER,765564.1934682981,765564.1934682981,0.0,0,0.0,5834.097088550006,0.00017182539682539683,1,1,151,80,134,0,315,10,1,765.5210569642944
2023-01-20,C4_TRIGGER,765695.7368396361,765695.7368396361,0.0,0,0.0,5834.097088550006,0.00017182539682539683,1,1,151,80,134,0,315,10,0,765.6525929236856
2023-01-23,C4_TRIGGER,765827.3028134662,765827.3028134662,0.0,0,0.0,5834.097088550006,0.00017182539682539683,1,1,151,80,134,0,315,10,0,765.7841514842952
2023-01-24,C4_TRIGGER,765958.8913936719,765958.8913936719,0.0,0,0.0,5834.097088550006,0.00017182539682539683,1,1,151,80,134,0,315,10,0,765.9157326500067
2023-01-25,C4_TRIGGER,766090.5025841376,766090.5025841376,0.0,0,0.0,5834.097088550006,0.00017182539682539683,1,1,151,80,134,0,315,10,0,766.0473364247041
2023-01-26,C4_TRIGGER,766222.1363887483,766222.1363887483,0.0,0,0.0,5834.097088550006,0.00017182539682539683,1,1,151,80,134,0,315,10,0,766.1789628122723
2023-01-27,C4_TRIGGER,766353.7928113898,766353.7928113898,0.0,0,0.0,5834.097088550006,0.00017182539682539683,1,1,151,80,134,0,315,10,0,766.310611816597
2023-01-30,C4_TRIGGER,766485.4718559483,766485.4718559483,0.0,0,0.0,5834.097088550006,0.00017182539682539683,1,1,151,80,134,0,315,10,0,766.4422834415639
2023-01-31,C4_TRIGGER,766617.173526311,766617.173526311,0.0,0,0.0,5834.097088550006,0.00017182539682539683,1,1,151,80,134,0,315,10,0,766.57397769106
2023-02-01,C4_TRIGGER,766748.8978263653,766748.8978263653,0.0,0,0.0,5834.097088550006,0.00017182539682539683,1,1,151,80,134,0,315,10,0,766.7056945689728
2023-02-02,C4_TRIGGER,766888.2513958908,766888.2513958908,0.0,0,0.0,5834.097088550006,0.00018174603174603174,1,1,151,80,134,0,315,10,1,766.8450402864778
2023-02-03,C4_TRIGGER,767027.6302923746,767027.6302923746,0.0,0,0.0,5834.097088550006,0.00018174603174603174,1,1,151,80,134,0,315,10,0,766.9844113295139
2023-02-06,C4_TRIGGER,767167.0345204198,767167.0345204198,0.0,0,0.0,5834.097088550006,0.00018174603174603174,1,1,151,80,134,0,315,10,0,767.1238077026841
2023-02-07,C4_TRIGGER,767306.4640846301,767306.4640846301,0.0,0,0.0,5834.097088550006,0.00018174603174603174,1,1,151,80,134,0,315,10,0,767.2632294105919
2023-02-08,C4_TRIGGER,767445.9189896105,767445.9189896105,0.0,0,0.0,5834.097088550006,0.00018174603174603174,1,0,151,80,134,0,315,10,0,767.4026764578418
2023-02-09,C4_TRIGGER,767585.0946979352,767585.0946979352,0.0,0,0.0,5834.097088550006,0.00018134920634920636,1,0,151,80,134,0,315,10,0,767.5418443241676
2023-02-10,C4_TRIGGER,767724.6002429238,767724.6002429238,0.0,0,0.0,5834.097088550006,0.00018174603174603174,1,1,151,80,134,0,315,10,0,767.6813420085725
2023-02-13,C4_TRIGGER,767864.1311424917,767864.1311424917,0.0,0,0.0,5834.097088550006,0.00018174603174603174,1,1,151,80,134,0,315,10,0,767.8208650461279
2023-02-14,C4_TRIGGER,768003.6874012469,768003.6874012469,0.0,0,0.0,5834.097088550006,0.00018174603174603174,1,1,151,80,134,0,315,10,0,767.9604134414418
2023-02-15,C4_TRIGGER,768143.2690237983,768143.2690237983,0.0,0,0.0,5834.097088550006,0.00018174603174603174,1,1,151,80,134,0,315,10,0,768.0999871991228
2023-02-16,C4_TRIGGER,768282.8760147557,768282.8760147557,0.0,0,0.0,5834.097088550006,0.00018174603174603174,1,1,151,80,134,0,315,10,1,768.2395863237803
2023-02-17,C4_TRIGGER,768422.5083787297,768422.5083787297,0.0,0,0.0,5834.097088550006,0.00018174603174603174,1,1,151,80,134,0,315,10,0,768.3792108200247
2023-02-21,C4_TRIGGER,768562.1661203317,768562.1661203317,0.0,0,0.0,5834.097088550006,0.00018174603174603174,1,1,151,80,134,0,315,10,0,768.5188606924672
2023-02-22,C4_TRIGGER,768701.8492441742,768701.8492441742,0.0,0,0.0,5834.097088550006,0.00018174603174603174,1,1,151,80,134,0,315,10,0,768.6585359457201
2023-02-23,C4_TRIGGER,768841.55775487,768841.55775487,0.0,0,0.0,5834.097088550006,0.00018174603174603174,1,1,151,80,134,0,315,10,0,768.7982365843958
2023-02-24,C4_TRIGGER,768981.2916570334,768981.2916570334,0.0,0,0.0,5834.097088550006,0.00018174603174603174,1,1,151,80,134,0,315,10,0,768.9379626131083
2023-02-27,C4_TRIGGER,769120.7458039727,769120.7458039727,0.0,0,0.0,5834.097088550006,0.00018134920634920636,1,1,151,80,134,0,315,10,0,769.0774089023599
2023-02-28,C4_TRIGGER,769260.2252408109,769260.2252408109,0.0,0,0.0,5834.097088550006,0.00018134920634920636,1,1,151,80,134,0,315,10,0,769.2168804800854
