ticker,value_start,value_end,delta_value,delta_pct_of_total,from_date,to_date,window_type
TDW,0.0,24710.399999999998,24710.399999999998,46.08140929624702,2021-11-30,2022-04-14,dd_gt_10pct
LXU,0.0,25635.61,25635.61,47.80679539663312,2021-11-30,2022-04-14,dd_gt_10pct
KOS,0.0,26323.5,26323.5,49.0896131835081,2021-11-30,2022-04-14,dd_gt_10pct
ATI,0.0,26720.73,26720.73,49.830391083289086,2021-11-30,2022-04-14,dd_gt_10pct
GLNG,0.0,27341.48,27341.48,50.988002243798235,2021-11-30,2022-04-14,dd_gt_10pct
PTEN,0.0,27494.520000000004,27494.520000000004,51.27340024944355,2021-11-30,2022-04-14,dd_gt_10pct
AMR,0.0,27572.16,27572.16,51.41818789423118,2021-11-30,2022-04-14,dd_gt_10pct
HP,0.0,28393.469999999998,28393.469999999998,52.94981515518611,2021-11-30,2022-04-14,dd_gt_10pct
TRVI,0.0,30831.999999999996,30831.999999999996,57.49732952205905,2021-11-30,2022-04-14,dd_gt_10pct
PDS,0.0,31135.86,31135.86,58.06398554659762,2021-11-30,2022-04-14,dd_gt_10pct
RES,0.0,32130.54,32130.54,59.91892339458029,2021-11-30,2022-04-14,dd_gt_10pct
BTU,0.0,32865.4,32865.4,61.28933360386222,2021-11-30,2022-04-14,dd_gt_10pct
GLNG,26468.32,25826.600000000002,-641.7199999999975,-40.56358682941309,2022-04-19,2022-04-20,dd_gt_10pct
TRVI,31124.850000000002,30753.21,-371.64000000000306,-23.49163406046759,2022-04-19,2022-04-20,dd_gt_10pct
EOLS,26551.199999999997,26334.75,-216.4499999999971,-13.68196155523652,2022-04-19,2022-04-20,dd_gt_10pct
AMR,27857.28,27665.44,-191.84000000000015,-12.12634559832114,2022-04-19,2022-04-20,dd_gt_10pct
LXU,26766.739999999998,26626.600000000002,-140.13999999999578,-8.858351085011845,2022-04-19,2022-04-20,dd_gt_10pct
PDS,29189.16,29053.079999999998,-136.08000000000175,-8.60171553909279,2022-04-19,2022-04-20,dd_gt_10pct
STNG,25675.65,25641.0,-34.650000000001455,-2.1902516418986906,2022-04-19,2022-04-20,dd_gt_10pct
IPI,25798.2,25785.059999999998,-13.140000000003056,-0.8305889343305709,2022-04-19,2022-04-20,dd_gt_10pct
KOS,7.35,7.35,0.0,0.0,2022-04-19,2022-04-20,dd_gt_10pct
ATI,29.73,29.96,0.23000000000000043,0.014538466887061433,2022-04-19,2022-04-20,dd_gt_10pct
NEXT,13510.800000000001,13569.12,58.31999999999971,3.686449516753987,2022-04-19,2022-04-20,dd_gt_10pct
AR,2777.58,2838.42,60.840000000000146,3.845740545255731,2022-04-19,2022-04-20,dd_gt_10pct
PTEN,28568.16,28630.399999999998,62.23999999999796,3.93423556108988,2022-04-19,2022-04-20,dd_gt_10pct
BTU,30563.039999999997,30700.8,137.76000000000204,8.707909558093952,2022-04-19,2022-04-20,dd_gt_10pct
TDW,24581.94,24938.670000000002,356.7300000000032,22.549162141832447,2022-04-19,2022-04-20,dd_gt_10pct
RES,31247.120000000003,31676.2,429.0799999999981,27.122458138696874,2022-04-19,2022-04-20,dd_gt_10pct
LNTH,26476.329999999998,27480.559999999998,1004.2299999999996,63.47810696518987,2022-04-19,2022-04-20,dd_gt_10pct
BBAI,25109.280000000002,26327.52,1218.239999999998,77.00583434997243,2022-04-19,2022-04-20,dd_gt_10pct
RES,28975.52,0.0,-28975.52,-89.68738895677863,2022-04-21,2022-06-07,dd_gt_10pct
