date,variant,ticker,event,score,z_prev,sell_pct,sold_shares,proceeds_net,trade_cost,settle_dt
2022-02-14,C1,OXBR,rebalance_sell,,,1.0,2,11.197199999999999,0.0028,2022-02-15
2022-02-14,C1,VALU,rebalance_sell,,,1.0,143,8341.9639875,2.0860125,2022-02-15
2022-02-15,C1,KEN,rebalance_sell,,,1.0,143,8198.9997375,2.0502625,2022-02-16
2022-02-15,C1,KZR,rebalance_sell,,,1.0,572,8709.38211,2.17789,2022-02-16
2022-02-15,C1,VALU,rebalance_sell,,,1.0,1,59.7350625,0.014937500000000001,2022-02-16
2022-02-15,C1,ZIM,rebalance_sell,,,1.0,117,8441.7790275,2.1109725000000004,2022-02-16
2022-02-16,C1,BGI,rebalance_sell,,,1.0,1,4.538865,0.001135,2022-02-17
2022-02-16,C1,BTU,rebalance_sell,,,1.0,485,7927.767562500001,1.9824375000000003,2022-02-17
2022-02-16,C1,HPK,rebalance_sell,,,1.0,388,7719.2697,1.9303,2022-02-17
2022-02-16,C1,KEN,rebalance_sell,,,1.0,1,58.465379999999996,0.01462,2022-02-17
2022-02-16,C1,KZR,rebalance_sell,,,1.0,1,15.3061725,0.0038275,2022-02-17
2022-02-16,C1,NRT,rebalance_sell,,,1.0,675,8138.464875000001,2.035125,2022-02-17
2022-02-17,C1,DAC,rebalance_sell,,,1.0,84,8149.322160000001,2.03784,2022-02-18
2022-02-17,C1,NRT,rebalance_sell,,,1.0,3,37.370655000000006,0.009345000000000001,2022-02-18
2022-02-17,C1,ZIM,rebalance_sell,,,1.0,1,71.402145,0.017855,2022-02-18
2022-02-18,C1,PBT,defensive_sell,6.0,-4.045673538016183,1.0,704,8452.92624,2.11376,2022-02-22
2022-02-18,C1,ARCO,rebalance_sell,,,1.0,1006,7170.9868050000005,1.793195,2022-02-22
2022-02-18,C1,PBT,rebalance_sell,,,1.0,1,12.0069975,0.0030025,2022-02-22
2022-02-22,C1,ARCO,rebalance_sell,,,1.0,1,7.1682075,0.0017925,2022-02-23
2022-02-22,C1,ATI,rebalance_sell,,,1.0,337,8045.548109999999,2.0118899999999997,2022-02-23
2022-02-23,C1,AMPY,rebalance_sell,,,1.0,1739,7875.700582500001,1.9694175,2022-02-24
2022-02-23,C1,LEE,rebalance_sell,,,1.0,228,7289.617140000001,1.8228600000000001,2022-02-24
2022-02-23,C1,PUMP,rebalance_sell,,,1.0,669,7216.7053725,1.8046274999999998,2022-02-24
2022-02-24,C1,PUMP,defensive_sell,6.0,-3.2121971193368433,1.0,1,11.937014999999999,0.002985,2022-02-25
2022-02-24,C1,AMPY,rebalance_sell,,,1.0,2,9.43764,0.00236,2022-02-25
2022-02-24,C1,ATI,rebalance_sell,,,1.0,2,47.528115,0.011885,2022-02-25
2022-02-25,C1,AA,rebalance_sell,,,1.0,107,8327.867512499999,2.0824874999999996,2022-02-28
2022-02-28,C1,NRT,rebalance_sell,,,1.0,394,5869.132350000001,1.4676500000000001,2022-03-01
2022-02-28,C1,VOC,rebalance_sell,,,1.0,1112,7715.3506800000005,1.9293200000000001,2022-03-01
2022-03-01,C1,AA,rebalance_sell,,,1.0,1,79.760055,0.019945,2022-03-02
2022-03-01,C1,ARCO,rebalance_sell,,,1.0,1039,8237.2101825,2.0598175000000003,2022-03-02
2022-03-01,C1,NRT,rebalance_sell,,,1.0,1,16.395899999999997,0.0040999999999999995,2022-03-02
2022-03-01,C1,VOC,rebalance_sell,,,1.0,1,7.0782300000000005,0.00177,2022-03-02
2022-03-02,C1,MIRM,rebalance_sell,,,1.0,384,8119.5696,2.0304,2022-03-03
2022-03-02,C1,SND,rebalance_sell,,,1.0,2545,8345.5131,2.0869,2022-03-03
2022-03-03,C1,MIRM,rebalance_sell,,,1.0,1,20.654835,0.005165,2022-03-04
2022-03-04,C1,AA,rebalance_sell,,,1.0,102,9245.00817,2.31183,2022-03-07
2022-03-04,C1,EGY,rebalance_sell,,,1.0,1458,9183.10365,2.2963500000000003,2022-03-07
2022-03-07,C1,ATI,rebalance_sell,,,1.0,325,8603.8485,2.1515000000000004,2022-03-08
2022-03-07,C1,LXU,rebalance_sell,,,1.0,159,2808.8276175,0.7023825,2022-03-08
2022-03-07,C1,PTEN,rebalance_sell,,,1.0,617,9894.205829999999,2.47417,2022-03-08
2022-03-07,C1,VET,rebalance_sell,,,1.0,480,10595.750399999999,2.6496,2022-03-08
2022-03-08,C1,AA,rebalance_sell,,,1.0,1,82.3494075,0.020592500000000003,2022-03-09
2022-03-08,C1,ATI,rebalance_sell,,,1.0,1,25.9935,0.006500000000000001,2022-03-09
2022-03-08,C1,LXU,rebalance_sell,,,1.0,1,17.525617500000003,0.0043825,2022-03-09
2022-03-08,C1,PTEN,rebalance_sell,,,1.0,1,15.786052499999998,0.0039475,2022-03-09
2022-03-09,C1,CENX,rebalance_sell,,,1.0,309,7843.5486225,1.9613775,2022-03-10
2022-03-09,C1,MXC,rebalance_sell,,,1.0,340,7246.9878,1.8122,2022-03-10
2022-03-10,C1,SND,defensive_sell,6.0,-4.209640313115249,1.0,256,839.4700799999999,0.20992,2022-03-11
2022-03-10,C1,GTE,defensive_sell,6.0,-2.913014451659255,1.0,6064,10063.72344,2.5165599999999997,2022-03-11
2022-03-10,C1,VET,defensive_sell,5.0,-2.510615205619084,0.5,188,4285.3284,1.0716,2022-03-11
2022-03-10,C1,MARPS,defensive_sell,4.0,-1.366282214574634,0.25,2,28.19295,0.00705,2022-03-11
2022-03-10,C1,ENSV,rebalance_sell,,,1.0,1,4.31892,0.00108,2022-03-11
2022-03-10,C1,GTE,rebalance_sell,,,1.0,2,3.3191699999999997,0.00083,2022-03-11
2022-03-10,C1,MARPS,rebalance_sell,,,1.0,8,112.7718,0.0282,2022-03-11
2022-03-10,C1,SND,rebalance_sell,,,1.0,1,3.2791799999999998,0.00082,2022-03-11
2022-03-10,C1,VET,rebalance_sell,,,1.0,188,4285.3284,1.0716,2022-03-11
2022-03-11,C1,PTEN,rebalance_sell,,,1.0,328,5282.75898,1.32102,2022-03-14
2022-03-14,C1,HCC,defensive_sell,5.0,-1.2450713481844908,0.5,26,969.03768,0.24232,2022-03-15
2022-03-14,C1,AMR,defensive_sell,5.0,-1.1300678606912744,0.5,49,5552.761462499999,1.3885374999999998,2022-03-15
2022-03-14,C1,AMR,rebalance_sell,,,1.0,48,5439.439799999999,1.3601999999999999,2022-03-15
2022-03-14,C1,ATI,rebalance_sell,,,1.0,319,8209.007235,2.052765,2022-03-15
2022-03-14,C1,HCC,rebalance_sell,,,1.0,27,1006.3083600000001,0.25164000000000003,2022-03-15
2022-03-15,C1,AMR,defensive_sell,6.0,-3.697315283710396,1.0,1,113.41163999999999,0.02836,2022-03-16
2022-03-15,C1,EGY,defensive_sell,6.0,-3.406434830640674,1.0,1339,6853.96608,1.7139199999999999,2022-03-16
2022-03-15,C1,GTE,defensive_sell,4.0,-2.7692494259180673,0.25,865,1202.0494125,0.3005875,2022-03-16
2022-03-15,C1,GTE,rebalance_sell,,,1.0,2595,3606.1482374999996,0.9017624999999999,2022-03-16
2022-03-15,C1,INDO,rebalance_sell,,,1.0,318,7976.6253449999995,1.994655,2022-03-16
2022-03-16,C1,TDW,defensive_sell,5.0,-2.719570482246664,0.5,193,3737.4753975000003,0.9346025000000001,2022-03-17
2022-03-16,C1,HP,rebalance_sell,,,1.0,159,6135.865650000001,1.53435,2022-03-17
2022-03-16,C1,TDW,rebalance_sell,,,1.0,193,3737.4753975000003,0.9346025000000001,2022-03-17
2022-03-17,C1,HP,rebalance_sell,,,1.0,1,40.4198925,0.0101075,2022-03-18
2022-03-17,C1,PDS,rebalance_sell,,,1.0,126,7709.2722,1.9278000000000002,2022-03-18
2022-03-18,C1,ATI,rebalance_sell,,,1.0,291,7587.38268,1.8973200000000001,2022-03-21
2022-03-21,C1,ATI,rebalance_sell,,,1.0,2,52.866780000000006,0.01322,2022-03-22
2022-03-21,C1,KLXE,rebalance_sell,,,1.0,1023,7005.798112499999,1.7518875000000003,2022-03-22
2022-03-21,C1,MARPS,rebalance_sell,,,1.0,588,8106.492869999999,2.02713,2022-03-22
2022-03-21,C1,ZIM,rebalance_sell,,,1.0,86,7566.967785000001,1.8922150000000002,2022-03-22
2022-03-22,C1,GLNG,rebalance_sell,,,1.0,360,7496.925299999999,1.8746999999999998,2022-03-23
2022-03-22,C1,KLXE,rebalance_sell,,,1.0,2,13.576605,0.003395,2022-03-23
2022-03-22,C1,LNTH,rebalance_sell,,,1.0,2,111.352155,0.027844999999999998,2022-03-23
2022-03-22,C1,VET,rebalance_sell,,,1.0,95,2022.0443625,0.5056375,2022-03-23
