date,arm,split,is_holdout,cycle_id,equity,cash_free,cash_pending,holdings_value,n_tickers,log_ret_equity,turnover_gross_pct,defensive_sells_today,defensive_sell_rate,trigger_spc_today,trigger_medio_grave_today,cash_idle_gt5,trade_cost_today,gross_sells_today,gross_buys_today,is_rebalance_day
2025-05-27,A2,SW2,1,-1,95644.30770913004,94687.65270913004,0.0,956.6550000000007,20,0.0005072570716842652,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-05-28,A2,SW2,1,-1,95624.01725263127,94703.92245263126,0.0,920.094799999999,20,-0.00021216745197028886,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-05-29,A2,SW2,1,-1,95639.30979168761,94720.19499168762,0.0,919.1147999999997,20,0.00015991083419123703,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-05-30,A2,SW2,1,-1,95647.15072677945,94736.47032677945,0.0,910.6803999999998,20,8.198107775093952e-05,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-06-02,A2,SW2,1,-1,95664.0984583872,94752.7484583872,0.0,911.3499999999997,20,0.0001771744392896239,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-06-03,A2,SW2,1,-1,95703.11458699137,94769.02938699137,0.0,934.0851999999998,20,0.00040776189947970326,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-06-04,A2,SW2,1,-1,95713.85751307255,94785.31311307255,0.0,928.5444000000005,20,0.00011224632773775791,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-06-05,A2,SW2,1,-1,95728.62203711143,94801.59963711143,0.0,927.0224000000003,20,0.00015424501503371517,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-06-06,A2,SW2,1,-1,95761.86775958877,94817.88895958877,0.0,943.9787999999996,20,0.0003472310593249575,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-06-09,A2,SW2,1,-1,95799.46908098541,94834.1810809854,0.0,965.2880000000002,20,0.0003925773592908684,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-06-10,A2,SW2,1,-1,95833.58080178227,94850.47600178227,0.0,983.1048000000003,20,0.00035601083610593186,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-06-11,A2,SW2,1,-1,95838.68692246036,94866.77372246036,0.0,971.9131999999994,20,5.3279702274372786e-05,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-06-12,A2,SW2,1,-1,95829.92424350078,94883.07424350077,0.0,946.8499999999997,20,-9.143572244175881e-05,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-06-13,A2,SW2,1,-1,95832.85476538468,94899.37756538468,0.0,933.4772,20,3.0579979057742844e-05,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-06-16,A2,SW2,1,-1,95875.59688859334,94915.68368859334,0.0,959.9131999999997,20,0.00044590755961052307,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-06-17,A2,SW2,1,-1,95881.4386136081,94931.9926136081,0.0,949.4459999999996,20,6.0928403500589735e-05,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-06-18,A2,SW2,1,-1,95902.92074091037,94948.30434091037,0.0,954.6164000000001,20,0.00022402376778190428,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-06-20,A2,SW2,1,-1,95922.21087098165,94964.61887098165,0.0,957.5919999999993,20,0.00020112203207393075,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
